"","logFC","CI.L","CI.R","AveExpr","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","P value","Adjusted P value","negLog10rawP","negLog10adjP","sig.pval.fct","sig.FDR.fct"
"Q59J78_Ndufaf2_1481",0.0899089906550401,-0.279480990820126,0.459298972130206,21.701416571571,0.495446611102248,-7.43304535507601,0.623611332950759,0.732327761430336,0,0,0.623611332950759,0.732327761430336,0.205086000934678,0.135294502108571,"nonDE","nonDE"
"Q8BUV3_Gphn_1482",-0.0439254147409969,-0.318303796679311,0.230452967197318,21.7101617083162,-0.325840701916668,-7.50425827324753,0.746624292132153,0.824510586267452,0,0,0.746624292132153,0.824510586267452,0.12689788399541,0.083803763878743,"nonDE","nonDE"
"Q9DCB8_Isca2_1483",-0.182095222709979,-0.332331203029111,-0.0318592423908468,22.2498614977582,-2.46667501173629,-4.69149912472768,0.0190443414242433,0.0502631476859023,0,0,0.0190443414242433,0.0502631476859023,1.72023404115806,1.29875031757765,"nonDE","nonDE"
"Q62348_Tsn_1484",0.369502912626185,0.227485110523744,0.511520714728626,23.3676297768164,5.2949567400754,2.83934877660918,7.89285393403331e-06,6.72871618565081e-05,0,0,7.89285393403331e-06,6.72871618565081e-05,5.10276593421862,4.17206778966515,"nonDE","nonDE"
"P00493_Hprt1_1485",0.00743416850155754,-0.13022917985372,0.145097516856835,22.2832732322618,0.109900940554148,-7.55253001311882,0.913158647684715,0.945813148447499,0,0,0.913158647684715,0.945813148447499,0.0394537637268899,0.0241946528301056,"nonDE","nonDE"
"Q8BVE3_Atp6v1h_1486",0.329129875198973,0.0361283000299271,0.622131450368019,19.3746922161873,2.28644609445661,-5.06720405323992,0.0288620523124386,0.0698002771405419,0,0,0.0288620523124386,0.0698002771405419,1.53967279048864,1.15614285301625,"nonDE","nonDE"
"Q91Z38_Ttc1_1487",-0.288060710002714,-0.594497812480366,0.0183763924749376,21.2492060183935,-1.91342901471744,-5.77564945059408,0.0645122885733298,0.132716317432326,0,0,0.0645122885733298,0.132716317432326,1.19035755123665,0.877075677473513,"nonDE","nonDE"
"Q02819_Nucb1_1488",0.510327208634486,0.395909201025079,0.624745216243892,24.1927461495772,9.07698630304411,13.5445219070176,1.85291622452857e-10,9.73623252525015e-09,0,0,1.85291622452857e-10,9.73623252525015e-09,9.73214421589289,8.01160906263059,"nonDE","nonDE"
"Q9ESL4_Map3k20_1489",-0.587805615822887,-0.79588860844553,-0.379722623200244,22.502212634051,-5.74889640915741,4.16977641140334,2.07536527780602e-06,2.12688143718418e-05,0,0,2.07536527780602e-06,2.12688143718418e-05,5.68290545356682,4.67225671912963,"nonDE","nonDE"
"Q8BGY7_Fam210a_1490",0.207294975353765,0.0640716929120099,0.35051825779552,24.4403280731777,2.94552348515859,-3.60489109885206,0.00589472988108411,0.0192277306504888,0,0,0.00589472988108411,0.0192277306504888,2.22953609113588,1.71607197026639,"nonDE","nonDE"
"Q9CQ40_Mrpl49_1491",0.0859733964033573,-0.213345924570684,0.385292717377399,19.1227231609753,0.584654111702428,-7.38396801893119,0.562806578028811,0.68168944279265,0,0,0.562806578028811,0.68168944279265,0.249640835215758,0.166413431793533,"nonDE","nonDE"
"Q64516_Gk_1492",0.285545187935501,0.196681716591156,0.374408659279846,23.7008669033968,6.5394151426513,6.48013962511549,2.06212577849984e-07,2.83787785707835e-06,0,0,2.06212577849984e-07,2.83787785707835e-06,6.68568484863423,5.5470063006116,"nonDE","nonDE"
"Q61753_Phgdh_1493",1.81911245897018,1.31481299523726,2.32341192270311,18.9024471064297,7.34260041271448,8.75899785398061,2.1417787452963e-08,4.38988693184845e-07,1,1,2.1417787452963e-08,4.38988693184845e-07,7.66922539562367,6.3575466655225,"upReg","upReg"
"Q9CQT1_Mri1_1494",0.103032282719006,-0.0751565679651513,0.281221133403164,22.3108935269371,1.17673896008878,-6.86181132742352,0.247782148443276,0.380292304302214,0,0,0.247782148443276,0.380292304302214,0.605929985739816,0.419882462999933,"nonDE","nonDE"
"P42669_Pura_1495",-0.0679567991704566,-0.319216834628216,0.183303236287303,19.3502632595071,-0.550456797439127,-7.40373622079467,0.585747481670869,0.701246985098928,0,0,0.585747481670869,0.701246985098928,0.232289569907775,0.154128992912558,"nonDE","nonDE"
"P56391_Cox6b1_1496",0.619452691995495,0.41780994156512,0.821095442425869,29.1654479673444,6.2519121856889,5.6426840105487,4.75588602411932e-07,5.87372248277985e-06,0,0,4.75588602411932e-07,5.87372248277985e-06,6.32276856189379,5.23108657654739,"nonDE","nonDE"
